Sequence,RawData,Position384,OriginalSequence
619,27.6729,Plate 3 C4,394
627,148.8601,Plate 3 E4,395
635,31.6075,Plate 3 G4,396
DMSO,32.7148,Plate 3 I4,397
643,34.4535,Plate 3 K4,398
651,32.8515,Plate 3 M4,399
659,32.9115,Plate 3 O4,400
667,30.5902,Plate 3 A5,401
675,41.4598,Plate 3 C5,402
683,29.6202,Plate 3 E5,403
691,30.7524,Plate 3 G5,404
699,33.5939,Plate 3 I5,405
707,29.0397,Plate 3 K5,406
715,28.2612,Plate 3 M5,407
723,27.3788,Plate 3 O5,408
731,53.4685,Plate 3 A6,409
739,78.1734,Plate 3 C6,410
747,47.3045,Plate 3 E6,411
755,40.6801,Plate 3 G6,412
763,87.9489,Plate 3 I6,413
771,44.9235,Plate 3 K6,414
779,44.7147,Plate 3 M6,415
787,28.432,Plate 3 O6,416
795,31.7802,Plate 3 A7,417
803,24.6528,Plate 3 C7,418
811,31.51,Plate 3 E7,419
819,26.4888,Plate 3 G7,420
827,28.1454,Plate 3 I7,421
835,26.9497,Plate 3 K7,422
843,29.5771,Plate 3 M7,423
851,25.295,Plate 3 O7,424
859,28.8734,Plate 3 A8,425
867,25.9288,Plate 3 C8,426
875,34.4795,Plate 3 E8,427
883,29.0164,Plate 3 G8,428
891,28.2224,Plate 3 I8,429
899,26.7854,Plate 3 K8,430
907,26.1268,Plate 3 M8,431
915,26.3197,Plate 3 O8,432
923,23.5216,Plate 3 A9,433
931,23.5011,Plate 3 C9,434
939,24.1235,Plate 3 E9,435
947,28.1971,Plate 3 G9,436
955,25.6747,Plate 3 I9,437
DMSO,19.1332,Plate 3 K9,438
963,24.6935,Plate 3 M9,439
971,23.4838,Plate 3 O9,440
979,28.184,Plate 3 A10,441
987,24.0266,Plate 3 C10,442
995,22.8788,Plate 3 E10,443
1003,23.263,Plate 3 G10,444
1011,21.8206,Plate 3 I10,445
1019,23.3914,Plate 3 K10,446
1027,22.1658,Plate 3 M10,447
1035,22.2496,Plate 3 O10,448
1043,36.3371,Plate 3 A11,449
1051,25.8691,Plate 3 C11,450
1059,23.733,Plate 3 E11,451
1067,23.1035,Plate 3 G11,452
1075,22.546,Plate 3 I11,453
1083,27.8037,Plate 3 K11,454
1091,23.9287,Plate 3 M11,455
1099,22.617,Plate 3 O11,456
1107,27.0862,Plate 3 A12,457
1115,26.2777,Plate 3 C12,458
1123,25.2578,Plate 3 E12,459
1131,23.5674,Plate 3 G12,460
1139,27.4867,Plate 3 I12,461
1147,187.9409,Plate 3 K12,462
1155,26.537,Plate 3 M12,463
1163,26.9764,Plate 3 O12,464
1171,34.7303,Plate 3 A13,465
1179,24.7294,Plate 3 C13,466
1187,27.6092,Plate 3 E13,467
1195,22.4763,Plate 3 G13,468
1203,23.5733,Plate 3 I13,469
1211,22.2265,Plate 3 K13,470
1219,24.6349,Plate 3 M13,471
1227,21.478,Plate 3 O13,472
1235,28.078,Plate 3 A14,473
1243,24.3079,Plate 3 C14,474
1251,22.8554,Plate 3 E14,475
1259,23.3014,Plate 3 G14,476
1267,51.9883,Plate 3 I14,477
1275,26.9755,Plate 3 K14,478
DMSO,17.812,Plate 3 M14,479
DMSO,21.2277,Plate 3 O14,480
4,27.594,Plate 3 A15,481
12,30.7768,Plate 3 C15,482
20,25.9004,Plate 3 E15,483
28,32.593,Plate 3 G15,484
36,30.5837,Plate 3 I15,485
44,32.9661,Plate 3 K15,486
52,23.0589,Plate 3 M15,487
60,22.6501,Plate 3 O15,488
68,24.6599,Plate 3 A16,489
76,23.0553,Plate 3 C16,490
84,52.1069,Plate 3 E16,491
92,52.4644,Plate 3 G16,492
100,22.9045,Plate 3 I16,493
108,25.8092,Plate 3 K16,494
116,24.2929,Plate 3 M16,495
124,22.4859,Plate 3 O16,496
132,26.2961,Plate 3 A17,497
140,23.3998,Plate 3 C17,498
148,26.576,Plate 3 E17,499
156,25.0944,Plate 3 G17,500
164,28.4178,Plate 3 I17,501
172,24.2899,Plate 3 K17,502
180,24.7764,Plate 3 M17,503
188,22.9422,Plate 3 O17,504
196,22.3721,Plate 3 A18,505
204,23.3786,Plate 3 C18,506
212,24.1179,Plate 3 E18,507
220,22.9716,Plate 3 G18,508
228,24.6225,Plate 3 I18,509
236,21.4635,Plate 3 K18,510
244,49.5314,Plate 3 M18,511
252,34.8981,Plate 3 O18,512
260,20.8841,Plate 3 A19,513
268,21.6605,Plate 3 C19,514
276,26.1134,Plate 3 E19,515
284,74.3177,Plate 3 G19,516
292,25.4733,Plate 3 I19,517
